Ngày,Hà Nội,Thành phố Hồ Chí Minh,Hưng Yên,Hà Nam,Vĩnh Phúc,Đà Nẵng,Yên Bái,Quảng Nam,Đồng Nai,Hải Dương,Thái Bình,Quảng Ngãi,Lạng Sơn,Bắc Ninh,Thanh Hóa,Điện Biên,Nghệ An,Nam Định,Phú Thọ,Quảng Ninh,Bắc Giang,Hải Phòng,Thừa Thiên Huế,Đắk Lăk,Hòa Bình,Quảng Trị,Tuyên Quang,Sơn La,Ninh Bình,Thái Nguyên,Long An,Bạc Liêu,Gia Lai,Tây Ninh,Bình Dương,Trà Vinh,Đồng Tháp,Hà Tĩnh,Tiền Giang,Bắc Kạn,Lào Cai,An Giang,Vĩnh Long,Kiên Giang,Khánh Hòa,Phú Yên,Bình Thuận,Cần Thơ,Bà Rịa - Vũng Tàu,Bình Định,Bình Phước,Lâm Đồng,Ninh Thuận,Bến Tre,Sóc Trăng,Cà Mau,Hậu Giang,Đắk Nông,Kon Tum,Hà Giang,Quảng Bình,Lai Châu,Cao Bằng
,227166,526059,32328,11468,36610,52590,15746,30148,100814,44087,23187,18063,16728,67868,39279,7489,42079,41382,35704,34225,39458,59174,26471,25998,33724,12003,14299,17696,24708,34137,42097,36452,15221,89549,295221,38729,47931,11230,35463,3179,19535,35810,45246,34235,58689,16481,31307,44835,36071,47773,52988,24903,6186,43206,32494,59754,16233,13054,5828,17149,17268,4506,7827
4/27/2021,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/28/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/29/2021,,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/30/2021,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2021,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/2/2021,,,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/3/2021,,,,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/4/2021,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/5/2021,15,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/6/2021,28,,2,,11,3,,,,1,5,1,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/7/2021,24,,4,1,1,5,,,,1,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/2021,23,,3,,7,8,,1,,1,1,,,31,,,,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/9/2021,17,,2,1,,17,,1,,,,,2,15,,,,,,,31,,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/10/2021,32,,6,,20,18,,,,1,,,1,27,,1,,,,,15,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/11/2021,5,,,,7,,,,,2,2,,1,34,,,,,,,17,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/12/2021,14,,1,1,13,27,,,,,1,,1,5,,,,1,1,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/2021,8,,4,1,5,32,,,,,4,,,7,,,,,,,10,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/14/2021,27,,1,,,3,,,,,2,,6,46,,1,,2,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2021,16,,1,1,5,8,,,,,,,4,17,,2,,1,,,109,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/2021,8,,1,6,,12,,,,2,,,,47,,12,,,,,98,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/17/2021,5,,2,5,4,7,,,,,,,2,49,,7,,,2,,97,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/18/2021,20,,1,4,,2,,,,3,1,,,16,,7,,,,,96,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/19/2021,11,2,,,1,2,,,,3,1,,3,47,,7,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/20/2021,6,3,,,1,1,,,,6,,,2,24,1,4,,,,,63,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/21/2021,3,,2,,,2,,,,3,,,1,14,,7,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/22/2021,10,,4,,,1,,,,7,1,,2,28,2,3,,,,,84,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/23/2021,7,,,,,1,,,,3,,,,48,,,,,,,68,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/24/2021,21,1,,,,1,,,,5,,,11,38,,2,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/25/2021,24,1,,5,,2,,,,,1,,7,28,,1,,,,,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/26/2021,16,,,,,,,,,4,,,,91,1,1,,,,,121,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/27/2021,7,36,,,,1,,,,1,,,1,52,,1,,,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/28/2021,4,25,1,1,,,,,,1,1,,10,33,,,,,,,176,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/29/2021,9,29,,3,,,,,,2,,,7,52,,1,,,,,170,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/30/2021,20,59,,,,1,,,,1,,,,43,,,,,,,124,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/2021,28,,,,,1,,,,,,,3,38,,,,,,,134,,,1,,,,,,,2,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
