Ngày,Cộng đồng,Tổng cộng dồn trong cộng đồng,Ca nhiễm nhập cảnh,Ca nhiễm tử vong,Ca nhiễm đã khỏi ,Ca nhiễm mới,Tổng cộng dồn ca nhiễm mới,Tổng số ca nhiễm tử vong,Ca nhiễm mới đang điều trị,Tổng ca nhiễm đang điều trị,Số ca cách ly,Số ca điều tra dịch tễ
4/27/2021,1,1,4,0,0,5,5,0,5,303,,
4/28/2021,0,1,8,0,0,8,13,0,8,311,,
4/29/2021,6,7,39,0,0,45,58,0,45,356,,
4/30/2021,7,14,11,0,0,18,76,0,18,374,,
5/1/2021,3,17,11,0,32,14,90,0,-18,356,,
5/2/2021,8,25,12,0,1,20,110,0,19,375,,
5/3/2021,10,35,9,0,11,19,129,0,8,383,,
5/4/2021,3,38,12,0,0,15,144,0,15,398,,
5/5/2021,18,56,8,0,0,26,170,0,26,424,,
5/6/2021,64,120,4,0,0,68,238,0,68,492,,
5/7/2021,41,161,6,0,0,47,285,0,47,539,,
5/8/2021,80,241,13,0,42,93,378,0,51,590,,
5/9/2021,92,333,10,0,0,102,480,0,102,692,,
5/10/2021,125,458,4,0,0,129,609,0,129,821,124,1
5/11/2021,71,529,5,0,16,76,685,0,60,881,70,1
5/12/2021,82,611,4,0,18,86,771,0,68,949,82,0
5/13/2021,73,684,14,0,21,87,858,0,66,1015,72,1
5/14/2021,104,788,2,0,0,106,964,0,106,1121,104,0
5/15/2021,165,953,4,1,11,169,1133,1,157,1278,165,0
5/16/2021,187,1140,3,0,0,190,1323,1,190,1468,185,2
5/17/2021,181,1321,3,1,0,184,1507,2,183,1651,181,0
5/18/2021,152,1473,1,0,19,153,1660,2,134,1785,151,1
5/19/2021,175,1648,3,0,0,178,1838,2,178,1963,172,3
5/20/2021,114,1762,5,2,0,119,1957,4,117,2080,109,5
5/21/2021,131,1893,1,2,2,132,2089,6,128,2208,130,1
5/22/2021,143,2036,2,0,32,145,2234,6,113,2321,142,1
5/23/2021,129,2165,2,1,0,131,2365,7,130,2451,127,2
5/24/2021,184,2349,3,2,73,187,2552,9,112,2563,183,1
5/25/2021,444,2793,3,0,0,447,2999,9,447,3010,444,0
5/26/2021,235,3028,0,1,59,235,3234,10,175,3185,235,0
5/27/2021,227,3255,3,1,0,230,3464,11,229,3414,227,0
5/28/2021,253,3508,1,1,43,254,3718,12,210,3624,248,5
5/29/2021,277,3785,9,0,0,286,4004,12,286,3910,274,3
5/30/2021,250,4035,1,0,54,251,4255,12,197,4107,250,0
5/31/2021,211,4246,3,0,80,214,4469,12,134,4241,211,0
6/1/2021,250,4496,1,1,13,251,4720,13,237,4478,248,2
6/2/2021,229,4725,12,1,42,241,4961,14,198,4676,225,4
6/3/2021,231,4956,19,0,0,250,5211,14,250,4926,228,3
6/4/2021,219,5175,5,2,157,224,5435,16,65,4991,212,7
6/5/2021,246,5421,8,2,68,254,5689,18,184,5175,245,1
6/6/2021,201,5622,5,0,58,206,5895,18,148,5323,198,3
6/7/2021,211,5833,25,0,141,236,6131,18,95,5418,200,11
6/8/2021,171,6004,4,2,40,175,6306,20,133,5551,165,6
6/9/2021,381,6385,26,0,87,407,6713,20,320,5871,370,11
6/10/2021,211,6596,8,0,72,219,6932,20,147,6018,188,23
6/11/2021,185,6781,11,2,96,196,7128,22,98,6116,168,17
6/12/2021,259,7040,2,1,23,261,7389,23,237,6353,246,13
6/13/2021,293,7333,4,1,171,297,7686,24,125,6478,254,39
6/14/2021,266,7599,6,2,238,272,7958,26,32,6510,236,30
6/15/2021,398,7997,4,0,303,402,8360,26,99,6609,204,194
6/16/2021,414,8411,9,0,47,423,8783,26,376,6985,398,16
6/17/2021,503,8914,12,0,63,515,9298,26,452,7437,495,8
6/18/2021,259,9173,5,1,80,264,9562,27,183,7620,232,27
6/19/2021,471,9644,15,2,321,486,10048,29,163,7783,258,213
6/20/2021,300,9944,11,2,175,311,10359,31,134,7917,281,19
6/21/2021,267,10211,5,3,224,272,10631,34,45,7962,258,9
6/22/2021,230,10441,14,0,93,244,10875,34,151,8113,217,13
6/23/2021,217,10658,3,1,138,220,11095,35,81,8194,196,21
6/24/2021,279,10937,6,2,75,285,11380,37,208,8402,260,19
