Tỉnh Thành,Ca nhiễm hôm nay,Tổng ca nhiễm,Dân số,Số ngày không có ca nhiễm mới,Miền
Lai Châu,438,4506,462600,,Bắc
Tuyên Quang,1118,14299,786300,,Bắc
Yên Bái,1666,15746,823000,,Bắc
Bắc Kạn,214,3179,314400,,Bắc
Quảng Ninh,,34225,1324800,,Bắc
Thái Nguyên,1497,34137,1290900,,Bắc
Nam Định,2592,41382,1780900,,Bắc
Phú Thọ,2596,35704,1466400,,Bắc
Hòa Bình,2391,33724,855800,,Bắc
Hà Giang,1560,17149,858100,,Bắc
Kon Tum,189,5828,543400,,Trung
Quảng Trị,414,12003,633400,,Trung
Hải Phòng,1890,59174,2033300,,Bắc
Cà Mau,422,59754,1194300,,Nam
Quảng Bình,987,17268,896600,,Trung
Ninh Bình,1799,24708,984500,,Bắc
Lào Cai,1655,19535,733300,,Bắc
Thái Bình,1456,23187,1862200,,Bắc
Điện Biên,738,7489,601700,,Trung
Bạc Liêu,81,36452,908200,,Nam
Hà Nam,530,11468,854500,,Bắc
Sơn La,2860,17696,1252700,,Bắc
Thanh Hóa,881,39279,3645800,,Trung
Lạng Sơn,1480,16728,782800,,Bắc
Lâm Đồng,732,24903,1299300,,Trung
Hải Dương,2948,44087,1896900,,Bắc
Thừa Thiên Huế,242,26471,1129500,,Trung
Đắk Nông,253,13054,625800,,Trung
Quảng Nam,1199,30148,1497500,,Trung
Vĩnh Phúc,2117,36610,1154800,,Bắc
Gia Lai,579,15221,1520200,,Trung
Hà Tĩnh,715,11230,1290300,,Trung
Bình Phước,610,52988,997800,,Nam
Hưng Yên,1995,32328,1255800,,Bắc
Hậu Giang,4,16233,732200,,Nam
Bình Định,1016,47773,1487800,,Trung
Quảng Ngãi,145,18063,1231900,,Trung
Kiên Giang,77,34235,1723700,,Nam
Nghệ An,1629,42079,3337200,,Trung
Sóc Trăng,17,32494,1199500,,Nam
Đắk LắK,1514,25998,1872600,,Trung
Ninh Thuận,17,6186,591000,,Trung
Trà Vinh,74,38729,1009300,,Nam
An Giang,7,35810,1907400,,Nam
Bến Tre,179,43206,1289100,,Nam
Bình Thuận,284,31307,1232300,,Trung
Vĩnh Long,83,45246,1022600,,Nam
Đà Nẵng,981,52590,1141100,,Trung
Bắc Ninh,2375,67868,1378600,,Bắc
Phú Yên,656,16481,873200,,Trung
Cần Thơ,51,44835,1236000,,Nam
Hà Nội,8864,227166,8093900,,Bắc
Bà Rịa - Vũng Tàu,627,36071,1152200,,Nam
Tây Ninh,179,89549,1171700,,Nam
Tiền Giang,7,35463,1766300,,Nam
Khánh Hòa,1229,58689,1232800,,Trung
Đồng Tháp,10,47931,1598800,,Nam
Bắc Giang,4171,39458,1810400,,Bắc
Đồng Nai,148,100814,3113700,,Nam
Long An,40,42097,1695100,,Nam
Bình Dương,577,295221,2456300,,Nam
Thành phố Hồ Chí Minh,2466,526059,9038600,,Nam
Cao Bằng,848,7827,530900,,Bắc
Hoàng Sa,,,,,
Trường Sa,,,,,
